"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"05/01/2020 07:00:00 - 05/01/2020 08:00:00","BZN|FI","Without sequence","29.98","",""
"05/01/2020 08:00:00 - 05/01/2020 09:00:00","BZN|FI","Without sequence","31.06","",""
"05/01/2020 09:00:00 - 05/01/2020 10:00:00","BZN|FI","Without sequence","31.18","",""
"05/01/2020 10:00:00 - 05/01/2020 11:00:00","BZN|FI","Without sequence","31.6","",""
"05/01/2020 11:00:00 - 05/01/2020 12:00:00","BZN|FI","Without sequence","31.55","",""
"05/01/2020 12:00:00 - 05/01/2020 13:00:00","BZN|FI","Without sequence","31.22","",""
"05/01/2020 13:00:00 - 05/01/2020 14:00:00","BZN|FI","Without sequence","30.93","",""
"05/01/2020 14:00:00 - 05/01/2020 15:00:00","BZN|FI","Without sequence","30.67","",""
"05/01/2020 15:00:00 - 05/01/2020 16:00:00","BZN|FI","Without sequence","30.79","",""
"05/01/2020 16:00:00 - 05/01/2020 17:00:00","BZN|FI","Without sequence","31.16","",""
"05/01/2020 17:00:00 - 05/01/2020 18:00:00","BZN|FI","Without sequence","31.53","",""
"05/01/2020 18:00:00 - 05/01/2020 19:00:00","BZN|FI","Without sequence","31.1","",""
"05/01/2020 19:00:00 - 05/01/2020 20:00:00","BZN|FI","Without sequence","30.42","",""
"05/01/2020 20:00:00 - 05/01/2020 21:00:00","BZN|FI","Without sequence","29.87","",""
"05/01/2020 21:00:00 - 05/01/2020 22:00:00","BZN|FI","Without sequence","29.24","",""
"05/01/2020 22:00:00 - 05/01/2020 23:00:00","BZN|FI","Without sequence","28.16","",""
"05/01/2020 23:00:00 - 06/01/2020 00:00:00","BZN|FI","Without sequence","26.68","",""
"06/01/2020 00:00:00 - 06/01/2020 01:00:00","BZN|FI","Without sequence","26.42","",""
"06/01/2020 01:00:00 - 06/01/2020 02:00:00","BZN|FI","Without sequence","26.5","",""
"06/01/2020 02:00:00 - 06/01/2020 03:00:00","BZN|FI","Without sequence","27.01","",""
"06/01/2020 03:00:00 - 06/01/2020 04:00:00","BZN|FI","Without sequence","27.06","",""
"06/01/2020 04:00:00 - 06/01/2020 05:00:00","BZN|FI","Without sequence","27.03","",""
"06/01/2020 05:00:00 - 06/01/2020 06:00:00","BZN|FI","Without sequence","27.62","",""
"06/01/2020 06:00:00 - 06/01/2020 07:00:00","BZN|FI","Without sequence","28.16","",""
"06/01/2020 07:00:00 - 06/01/2020 08:00:00","BZN|FI","Without sequence","29.08","",""
"06/01/2020 08:00:00 - 06/01/2020 09:00:00","BZN|FI","Without sequence","29.73","",""
"06/01/2020 09:00:00 - 06/01/2020 10:00:00","BZN|FI","Without sequence","30.52","",""
"06/01/2020 10:00:00 - 06/01/2020 11:00:00","BZN|FI","Without sequence","31.12","",""
"06/01/2020 11:00:00 - 06/01/2020 12:00:00","BZN|FI","Without sequence","31.23","",""
"06/01/2020 12:00:00 - 06/01/2020 13:00:00","BZN|FI","Without sequence","31.19","",""
"06/01/2020 13:00:00 - 06/01/2020 14:00:00","BZN|FI","Without sequence","31.08","",""
"06/01/2020 14:00:00 - 06/01/2020 15:00:00","BZN|FI","Without sequence","31.21","",""
"06/01/2020 15:00:00 - 06/01/2020 16:00:00","BZN|FI","Without sequence","31.3","",""
"06/01/2020 16:00:00 - 06/01/2020 17:00:00","BZN|FI","Without sequence","31.76","",""
"06/01/2020 17:00:00 - 06/01/2020 18:00:00","BZN|FI","Without sequence","31.74","",""
"06/01/2020 18:00:00 - 06/01/2020 19:00:00","BZN|FI","Without sequence","31.31","",""
"06/01/2020 19:00:00 - 06/01/2020 20:00:00","BZN|FI","Without sequence","30.95","",""
"06/01/2020 20:00:00 - 06/01/2020 21:00:00","BZN|FI","Without sequence","30.58","",""
"06/01/2020 21:00:00 - 06/01/2020 22:00:00","BZN|FI","Without sequence","30.28","",""
"06/01/2020 22:00:00 - 06/01/2020 23:00:00","BZN|FI","Without sequence","29.46","",""
"06/01/2020 23:00:00 - 07/01/2020 00:00:00","BZN|FI","Without sequence","28.19","",""
"07/01/2020 00:00:00 - 07/01/2020 01:00:00","BZN|FI","Without sequence","27.16","",""
"07/01/2020 01:00:00 - 07/01/2020 02:00:00","BZN|FI","Without sequence","27.08","",""
"07/01/2020 02:00:00 - 07/01/2020 03:00:00","BZN|FI","Without sequence","27.02","",""
"07/01/2020 03:00:00 - 07/01/2020 04:00:00","BZN|FI","Without sequence","26.98","",""
"07/01/2020 04:00:00 - 07/01/2020 05:00:00","BZN|FI","Without sequence","27.18","",""
"07/01/2020 05:00:00 - 07/01/2020 06:00:00","BZN|FI","Without sequence","28.8","",""
"07/01/2020 06:00:00 - 07/01/2020 07:00:00","BZN|FI","Without sequence","29.96","",""
"07/01/2020 07:00:00 - 07/01/2020 08:00:00","BZN|FI","Without sequence","30.96","",""
"07/01/2020 08:00:00 - 07/01/2020 09:00:00","BZN|FI","Without sequence","31.15","",""
"07/01/2020 09:00:00 - 07/01/2020 10:00:00","BZN|FI","Without sequence","30.95","",""
"07/01/2020 10:00:00 - 07/01/2020 11:00:00","BZN|FI","Without sequence","30.7","",""
"07/01/2020 11:00:00 - 07/01/2020 12:00:00","BZN|FI","Without sequence","30.57","",""
"07/01/2020 12:00:00 - 07/01/2020 13:00:00","BZN|FI","Without sequence","30.48","",""
"07/01/2020 13:00:00 - 07/01/2020 14:00:00","BZN|FI","Without sequence","30.49","",""
"07/01/2020 14:00:00 - 07/01/2020 15:00:00","BZN|FI","Without sequence","30.5","",""
"07/01/2020 15:00:00 - 07/01/2020 16:00:00","BZN|FI","Without sequence","30.84","",""
"07/01/2020 16:00:00 - 07/01/2020 17:00:00","BZN|FI","Without sequence","30.71","",""
"07/01/2020 17:00:00 - 07/01/2020 18:00:00","BZN|FI","Without sequence","30.54","",""
"07/01/2020 18:00:00 - 07/01/2020 19:00:00","BZN|FI","Without sequence","30.18","",""
"07/01/2020 19:00:00 - 07/01/2020 20:00:00","BZN|FI","Without sequence","29.46","",""
"07/01/2020 20:00:00 - 07/01/2020 21:00:00","BZN|FI","Without sequence","28.63","",""
"07/01/2020 21:00:00 - 07/01/2020 22:00:00","BZN|FI","Without sequence","27.98","",""
"07/01/2020 22:00:00 - 07/01/2020 23:00:00","BZN|FI","Without sequence","26.93","",""
"07/01/2020 23:00:00 - 08/01/2020 00:00:00","BZN|FI","Without sequence","24.21","",""
"08/01/2020 00:00:00 - 08/01/2020 01:00:00","BZN|FI","Without sequence","18.95","",""
"08/01/2020 01:00:00 - 08/01/2020 02:00:00","BZN|FI","Without sequence","4.96","",""
"08/01/2020 02:00:00 - 08/01/2020 03:00:00","BZN|FI","Without sequence","0.1","",""
"08/01/2020 03:00:00 - 08/01/2020 04:00:00","BZN|FI","Without sequence","0.11","",""
"08/01/2020 04:00:00 - 08/01/2020 05:00:00","BZN|FI","Without sequence","1.75","",""
"08/01/2020 05:00:00 - 08/01/2020 06:00:00","BZN|FI","Without sequence","20.74","",""
"08/01/2020 06:00:00 - 08/01/2020 07:00:00","BZN|FI","Without sequence","25.57","",""
"08/01/2020 07:00:00 - 08/01/2020 08:00:00","BZN|FI","Without sequence","26.99","",""
"08/01/2020 08:00:00 - 08/01/2020 09:00:00","BZN|FI","Without sequence","27.34","",""
"08/01/2020 09:00:00 - 08/01/2020 10:00:00","BZN|FI","Without sequence","27.24","",""
"08/01/2020 10:00:00 - 08/01/2020 11:00:00","BZN|FI","Without sequence","27.25","",""
"08/01/2020 11:00:00 - 08/01/2020 12:00:00","BZN|FI","Without sequence","27.27","",""
"08/01/2020 12:00:00 - 08/01/2020 13:00:00","BZN|FI","Without sequence","27.29","",""
"08/01/2020 13:00:00 - 08/01/2020 14:00:00","BZN|FI","Without sequence","27.38","",""
"08/01/2020 14:00:00 - 08/01/2020 15:00:00","BZN|FI","Without sequence","27.65","",""
"08/01/2020 15:00:00 - 08/01/2020 16:00:00","BZN|FI","Without sequence","28.44","",""
"08/01/2020 16:00:00 - 08/01/2020 17:00:00","BZN|FI","Without sequence","28.88","",""
"08/01/2020 17:00:00 - 08/01/2020 18:00:00","BZN|FI","Without sequence","29.02","",""
"08/01/2020 18:00:00 - 08/01/2020 19:00:00","BZN|FI","Without sequence","28.95","",""
"08/01/2020 19:00:00 - 08/01/2020 20:00:00","BZN|FI","Without sequence","28.72","",""
"08/01/2020 20:00:00 - 08/01/2020 21:00:00","BZN|FI","Without sequence","27.33","",""
"08/01/2020 21:00:00 - 08/01/2020 22:00:00","BZN|FI","Without sequence","27.06","",""
"08/01/2020 22:00:00 - 08/01/2020 23:00:00","BZN|FI","Without sequence","26.27","",""
"08/01/2020 23:00:00 - 09/01/2020 00:00:00","BZN|FI","Without sequence","24.29","",""
"09/01/2020 00:00:00 - 09/01/2020 01:00:00","BZN|FI","Without sequence","21.42","",""
"09/01/2020 01:00:00 - 09/01/2020 02:00:00","BZN|FI","Without sequence","20.56","",""
"09/01/2020 02:00:00 - 09/01/2020 03:00:00","BZN|FI","Without sequence","19.98","",""
"09/01/2020 03:00:00 - 09/01/2020 04:00:00","BZN|FI","Without sequence","21.08","",""
"09/01/2020 04:00:00 - 09/01/2020 05:00:00","BZN|FI","Without sequence","23.33","",""
"09/01/2020 05:00:00 - 09/01/2020 06:00:00","BZN|FI","Without sequence","26.24","",""
"09/01/2020 06:00:00 - 09/01/2020 07:00:00","BZN|FI","Without sequence","26.6","",""
"09/01/2020 07:00:00 - 09/01/2020 08:00:00","BZN|FI","Without sequence","27.7","",""
"09/01/2020 08:00:00 - 09/01/2020 09:00:00","BZN|FI","Without sequence","28.25","",""
"09/01/2020 09:00:00 - 09/01/2020 10:00:00","BZN|FI","Without sequence","28.31","",""
"09/01/2020 10:00:00 - 09/01/2020 11:00:00","BZN|FI","Without sequence","28.4","",""
"09/01/2020 11:00:00 - 09/01/2020 12:00:00","BZN|FI","Without sequence","28.37","",""
"09/01/2020 12:00:00 - 09/01/2020 13:00:00","BZN|FI","Without sequence","28.29","",""
"09/01/2020 13:00:00 - 09/01/2020 14:00:00","BZN|FI","Without sequence","28.37","",""
"09/01/2020 14:00:00 - 09/01/2020 15:00:00","BZN|FI","Without sequence","30.9","",""
"09/01/2020 15:00:00 - 09/01/2020 16:00:00","BZN|FI","Without sequence","31.1","",""
"09/01/2020 16:00:00 - 09/01/2020 17:00:00","BZN|FI","Without sequence","32.59","",""
"09/01/2020 17:00:00 - 09/01/2020 18:00:00","BZN|FI","Without sequence","42.85","",""
"09/01/2020 18:00:00 - 09/01/2020 19:00:00","BZN|FI","Without sequence","40.72","",""
"09/01/2020 19:00:00 - 09/01/2020 20:00:00","BZN|FI","Without sequence","28.33","",""
"09/01/2020 20:00:00 - 09/01/2020 21:00:00","BZN|FI","Without sequence","27.64","",""
"09/01/2020 21:00:00 - 09/01/2020 22:00:00","BZN|FI","Without sequence","27.55","",""
"09/01/2020 22:00:00 - 09/01/2020 23:00:00","BZN|FI","Without sequence","26.9","",""
"09/01/2020 23:00:00 - 10/01/2020 00:00:00","BZN|FI","Without sequence","26.41","",""
"10/01/2020 00:00:00 - 10/01/2020 01:00:00","BZN|FI","Without sequence","26.07","",""
"10/01/2020 01:00:00 - 10/01/2020 02:00:00","BZN|FI","Without sequence","25.95","",""
"10/01/2020 02:00:00 - 10/01/2020 03:00:00","BZN|FI","Without sequence","25.81","",""
"10/01/2020 03:00:00 - 10/01/2020 04:00:00","BZN|FI","Without sequence","25.89","",""
"10/01/2020 04:00:00 - 10/01/2020 05:00:00","BZN|FI","Without sequence","26.2","",""
"10/01/2020 05:00:00 - 10/01/2020 06:00:00","BZN|FI","Without sequence","27.46","",""
"10/01/2020 06:00:00 - 10/01/2020 07:00:00","BZN|FI","Without sequence","42.0","",""
"10/01/2020 07:00:00 - 10/01/2020 08:00:00","BZN|FI","Without sequence","44.56","",""
"10/01/2020 08:00:00 - 10/01/2020 09:00:00","BZN|FI","Without sequence","47.4","",""
"10/01/2020 09:00:00 - 10/01/2020 10:00:00","BZN|FI","Without sequence","43.78","",""
"10/01/2020 10:00:00 - 10/01/2020 11:00:00","BZN|FI","Without sequence","39.04","",""
"10/01/2020 11:00:00 - 10/01/2020 12:00:00","BZN|FI","Without sequence","36.14","",""
"10/01/2020 12:00:00 - 10/01/2020 13:00:00","BZN|FI","Without sequence","37.72","",""
"10/01/2020 13:00:00 - 10/01/2020 14:00:00","BZN|FI","Without sequence","39.01","",""
"10/01/2020 14:00:00 - 10/01/2020 15:00:00","BZN|FI","Without sequence","43.78","",""
"10/01/2020 15:00:00 - 10/01/2020 16:00:00","BZN|FI","Without sequence","45.98","",""
"10/01/2020 16:00:00 - 10/01/2020 17:00:00","BZN|FI","Without sequence","45.6","",""
"10/01/2020 17:00:00 - 10/01/2020 18:00:00","BZN|FI","Without sequence","44.54","",""
"10/01/2020 18:00:00 - 10/01/2020 19:00:00","BZN|FI","Without sequence","46.72","",""
"10/01/2020 19:00:00 - 10/01/2020 20:00:00","BZN|FI","Without sequence","30.01","",""
"10/01/2020 20:00:00 - 10/01/2020 21:00:00","BZN|FI","Without sequence","27.6","",""
"10/01/2020 21:00:00 - 10/01/2020 22:00:00","BZN|FI","Without sequence","27.05","",""
"10/01/2020 22:00:00 - 10/01/2020 23:00:00","BZN|FI","Without sequence","26.42","",""
"10/01/2020 23:00:00 - 11/01/2020 00:00:00","BZN|FI","Without sequence","25.88","",""
"11/01/2020 00:00:00 - 11/01/2020 01:00:00","BZN|FI","Without sequence","26.53","",""
"11/01/2020 01:00:00 - 11/01/2020 02:00:00","BZN|FI","Without sequence","26.02","",""
"11/01/2020 02:00:00 - 11/01/2020 03:00:00","BZN|FI","Without sequence","25.82","",""
"11/01/2020 03:00:00 - 11/01/2020 04:00:00","BZN|FI","Without sequence","25.61","",""
"11/01/2020 04:00:00 - 11/01/2020 05:00:00","BZN|FI","Without sequence","25.41","",""
"11/01/2020 05:00:00 - 11/01/2020 06:00:00","BZN|FI","Without sequence","25.32","",""
"11/01/2020 06:00:00 - 11/01/2020 07:00:00","BZN|FI","Without sequence","25.25","",""
"11/01/2020 07:00:00 - 11/01/2020 08:00:00","BZN|FI","Without sequence","25.41","",""
"11/01/2020 08:00:00 - 11/01/2020 09:00:00","BZN|FI","Without sequence","25.67","",""
"11/01/2020 09:00:00 - 11/01/2020 10:00:00","BZN|FI","Without sequence","25.93","",""
"11/01/2020 10:00:00 - 11/01/2020 11:00:00","BZN|FI","Without sequence","25.85","",""
"11/01/2020 11:00:00 - 11/01/2020 12:00:00","BZN|FI","Without sequence","25.54","",""
"11/01/2020 12:00:00 - 11/01/2020 13:00:00","BZN|FI","Without sequence","25.19","",""
"11/01/2020 13:00:00 - 11/01/2020 14:00:00","BZN|FI","Without sequence","25.01","",""
"11/01/2020 14:00:00 - 11/01/2020 15:00:00","BZN|FI","Without sequence","24.87","",""
"11/01/2020 15:00:00 - 11/01/2020 16:00:00","BZN|FI","Without sequence","25.17","",""
"11/01/2020 16:00:00 - 11/01/2020 17:00:00","BZN|FI","Without sequence","25.55","",""
"11/01/2020 17:00:00 - 11/01/2020 18:00:00","BZN|FI","Without sequence","25.65","",""
"11/01/2020 18:00:00 - 11/01/2020 19:00:00","BZN|FI","Without sequence","25.42","",""
"11/01/2020 19:00:00 - 11/01/2020 20:00:00","BZN|FI","Without sequence","24.78","",""
"11/01/2020 20:00:00 - 11/01/2020 21:00:00","BZN|FI","Without sequence","24.11","",""
"11/01/2020 21:00:00 - 11/01/2020 22:00:00","BZN|FI","Without sequence","23.16","",""
"11/01/2020 22:00:00 - 11/01/2020 23:00:00","BZN|FI","Without sequence","21.33","",""
"11/01/2020 23:00:00 - 12/01/2020 00:00:00","BZN|FI","Without sequence","19.31","",""
"12/01/2020 00:00:00 - 12/01/2020 01:00:00","BZN|FI","Without sequence","20.11","",""
"12/01/2020 01:00:00 - 12/01/2020 02:00:00","BZN|FI","Without sequence","19.37","",""
"12/01/2020 02:00:00 - 12/01/2020 03:00:00","BZN|FI","Without sequence","18.36","",""
"12/01/2020 03:00:00 - 12/01/2020 04:00:00","BZN|FI","Without sequence","18.34","",""
"12/01/2020 04:00:00 - 12/01/2020 05:00:00","BZN|FI","Without sequence","18.16","",""
"12/01/2020 05:00:00 - 12/01/2020 06:00:00","BZN|FI","Without sequence","18.66","",""
"12/01/2020 06:00:00 - 12/01/2020 07:00:00","BZN|FI","Without sequence","17.39","",""
"12/01/2020 07:00:00 - 12/01/2020 08:00:00","BZN|FI","Without sequence","18.22","",""
"12/01/2020 08:00:00 - 12/01/2020 09:00:00","BZN|FI","Without sequence","22.1","",""
"12/01/2020 09:00:00 - 12/01/2020 10:00:00","BZN|FI","Without sequence","23.93","",""
"12/01/2020 10:00:00 - 12/01/2020 11:00:00","BZN|FI","Without sequence","24.23","",""
"12/01/2020 11:00:00 - 12/01/2020 12:00:00","BZN|FI","Without sequence","24.84","",""
"12/01/2020 12:00:00 - 12/01/2020 13:00:00","BZN|FI","Without sequence","24.45","",""
"12/01/2020 13:00:00 - 12/01/2020 14:00:00","BZN|FI","Without sequence","24.41","",""
"12/01/2020 14:00:00 - 12/01/2020 15:00:00","BZN|FI","Without sequence","24.94","",""
"12/01/2020 15:00:00 - 12/01/2020 16:00:00","BZN|FI","Without sequence","25.27","",""
"12/01/2020 16:00:00 - 12/01/2020 17:00:00","BZN|FI","Without sequence","25.69","",""
